response_availability,cohort_size,d100
42,4000,0.05048159256
49,4000,0.04661827694
56,4000,0.04368328758
63,4000,0.03825980773
7,5000,0.08466242503
8,5000,0.05461212051
9,5000,0.05158765905
10,5000,0.05003357578
11,5000,0.05256040264
12,5000,0.05183055898
13,5000,0.05255627068
14,5000,0.05420068707
15,5000,0.05346583318
16,5000,0.05210988411
17,5000,0.05529090985
18,5000,0.05518276511
19,5000,0.05314758234
20,5000,0.05497617953
21,5000,0.05289271979
22,5000,0.05310081954
23,5000,0.05265696503
24,5000,0.04957932923
25,5000,0.05046733432
26,5000,0.05145300345
27,5000,0.05157502514
28,5000,0.05159578416
35,5000,0.04914954827
42,5000,0.04502538355
49,5000,0.04149275576
56,5000,0.03910288637
63,5000,0.03422968832
7,6000,0.08136037987
8,6000,0.05198050875
9,6000,0.04880955208
10,6000,0.04715505059
11,6000,0.04992130516
12,6000,0.04929927503
13,6000,0.04997957865
14,6000,0.05126564237
15,6000,0.05014492949
16,6000,0.04881221418
17,6000,0.05230033086
18,6000,0.0520782117
19,6000,0.05030399219
20,6000,0.05190003238
21,6000,0.05013049988
22,6000,0.05031810439
23,6000,0.04990283081
24,6000,0.0470361007
25,6000,0.04791247031
26,6000,0.04855008422
27,6000,0.04859340356
28,6000,0.0489619293
35,6000,0.04627549731
42,6000,0.04309172159
49,6000,0.03937159741
56,6000,0.0366970643
63,6000,0.03206738281
7,7000,0.07497426356
8,7000,0.04845981288
9,7000,0.04545657696
10,7000,0.04420402397
11,7000,0.04647209326
12,7000,0.04576470497
13,7000,0.04639448589
14,7000,0.04807729323
15,7000,0.04686374209
16,7000,0.04554355456
17,7000,0.04896854092
18,7000,0.04873409039
19,7000,0.04683089808
20,7000,0.04850085849
21,7000,0.04695443437
22,7000,0.04673426525
23,7000,0.04662491652
24,7000,0.04346632036
25,7000,0.04467648353
26,7000,0.04504491902
27,7000,0.04518780129
28,7000,0.04576488803
35,7000,0.04333373494
42,7000,0.04032228451
49,7000,0.03719939871
56,7000,0.03453942356
63,7000,0.02999678144
7,8000,0.07484127364
8,8000,0.04819434417
9,8000,0.04483436681
10,8000,0.04369057431
11,8000,0.04623570194
12,8000,0.04556820783
13,8000,0.04591386532
14,8000,0.04790147331
15,8000,0.04641724264
16,8000,0.04539344447
17,8000,0.04891474977
18,8000,0.04855972428
19,8000,0.04703897626
20,8000,0.04842751401
21,8000,0.04702212766
22,8000,0.04649440592
23,8000,0.0464131523
24,8000,0.04360182067
25,8000,0.04442525812
26,8000,0.0447809731
27,8000,0.04523849979
28,8000,0.04564229657
35,8000,0.04329335915
42,8000,0.03994395091
49,8000,0.0361394123
56,8000,0.03381117813
63,8000,0.02930536053
7,9000,0.07362219798
8,9000,0.04756196506
9,9000,0.04433128883
10,9000,0.04299350466
11,9000,0.0454346787
12,9000,0.04481163333
13,9000,0.04529003842
14,9000,0.04685921277
15,9000,0.04507031377
16,9000,0.04427951328
17,9000,0.04798432266
18,9000,0.0475281736
19,9000,0.04553545045
20,9000,0.04704450538
21,9000,0.04556249366
22,9000,0.04532297201
23,9000,0.04459329826
24,9000,0.04205189874
25,9000,0.04298416894
26,9000,0.04323067217
27,9000,0.04340091048
28,9000,0.04421448324
35,9000,0.04162914754
42,9000,0.03919040024
49,9000,0.03496451491
56,9000,0.03263535946
63,9000,0.02826268808
7,10000,0.07030842123
8,10000,0.04514458439
9,10000,0.04217848216
10,10000,0.04070922905
11,10000,0.04311695799
12,10000,0.04262822768
13,10000,0.04295231295
14,10000,0.04426551132
15,10000,0.04264931596
16,10000,0.04166879277
17,10000,0.0448781943
18,10000,0.04468041139
19,10000,0.04283324776
20,10000,0.04404359472
21,10000,0.04295348072
22,10000,0.04231309016
23,10000,0.04208046978
24,10000,0.03929166679
25,10000,0.04032742821
26,10000,0.04081269763
27,10000,0.04125908683
28,10000,0.04169320748
35,10000,0.03900374977
42,10000,0.03684099477
49,10000,0.03309408573
56,10000,0.03096023214
63,10000,0.02682084158
7,12000,0.06724486847
8,12000,0.04312357281
9,12000,0.03959411637
10,12000,0.03884104607
11,12000,0.0411576585
12,12000,0.04068391459
13,12000,0.04086773503
14,12000,0.0423289029
15,12000,0.04050834507
